FUNDOS,TIPO,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,DIVIDEND YIELD,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (12M) MÉDIA,VARIAÇÃO PREÇO,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
PRTS11,SHOPPING,"117,70",N/A,"1.961,67",N/A,N/A,N/A,N/A,N/A,"3.111.607,44",N/A,N/A,N/A,N/A,2,N/A,11,N/A,N/A,N/A
SRVD11,TIJOLO,"3,00","233,91","583,00","2,29 %","3,30 %","1,65 %","1,65 %","-9,79 %","-720.474,07","1,19","2,53","16,87 %","-0,11 %",0,"135,21",107,N/A,N/A,N/A
IBFF11,TIJOLO,"66,40","162.549,50","4,49","0,00 %","8,02 %","0,15 %","0,67 %","0,00 %","9.855.905,16","14,78","4,49","100,08 %","-79,09 %",0,"4,20",3.87,N/A,N/A,N/A
RBRM11,DESENVOLVIMENTO,"94.794,81",N/A,"3,45","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","14.823.845,13",N/A,N/A,N/A,N/A,0,N/A,54,N/A,N/A,N/A
LOFT11B,DESENVOLVIMENTO,"29,90",N/A,"2,84","0,00 %","189,83 %","0,00 %","15,82 %","0,00 %","20.644.665,73",N/A,N/A,N/A,N/A,16,N/A,1,N/A,N/A,N/A
KINP11,DESENVOLVIMENTO,"9,82","38.394,20","2,66","0,00 %","31,63 %","1,64 %","2,64 %","0,00 %","26.408.606,84","3,69","2,66","78,46 %","-16,14 %",0,"44,90",1.932,N/A,N/A,N/A
LFTT11,PAPEL,"42,04","14.357,00","1,89",N/A,N/A,N/A,N/A,N/A,"164.926.019,11","22,27","1,89","12,88 %","-44,38 %",250,"41,20",495,N/A,N/A,N/A
RBTS11,DESENVOLVIMENTO,"1.111,00","1.111,00","1,55","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","40.453.329,84","715,67","1,55","11,01 %","-34,57 %",0,"60,77",61,N/A,N/A,N/A
ERCR11,TIJOLO,"76.000,00",N/A,"1,47","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","122.839.762,11","51.700,24","1,47","1,26 %","-22,29 %",0,N/A,10,N/A,N/A,N/A
FISC11,TIJOLO,"165,00",N/A,"1,43","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","195.644.934,32","115,09","1,43","0,39 %","0,03 %",5,N/A,64,N/A,N/A,N/A
SHOP11,SHOPPING,"68,00","679,86","1,43",N/A,N/A,N/A,N/A,N/A,"70.437.259,73",N/A,N/A,N/A,N/A,1,"34,26",45,N/A,N/A,N/A
BNFS11,TIJOLO,"122,58","129.446,45","1,36","1,15 %","14,58 %","1,21 %","1,22 %","0,11 %","63.118.902,00","90,17","1,36","1,56 %","-1,35 %",18,"14,79",4.965,N/A,N/A,N/A
IDGR11,MISTO,"16,00","1.697,45","1,35","8,24 %","8,24 %","8,24 %","8,24 %","0,00 %","10.803.361,12",N/A,N/A,N/A,N/A,0,"131,27",51,N/A,N/A,N/A
HGIC11,PAPEL,"105,00","15.826,06","1,31","1,00 %","10,80 %","0,97 %","0,90 %","0,92 %","37.211.024,89","80,42","1,31","1,32 %","-29,90 %",0,"32,08",366,N/A,N/A,N/A
DAMT11B,SHOPPING,"17,01","720,73","1,29","0,42 %","6,16 %","0,42 %","0,62 %","1,03 %","96.166.275,23",N/A,N/A,N/A,N/A,1,"97,84",568,N/A,N/A,N/A
PNDL11,DESENVOLVIMENTO,"1.295,00","1.234.876,00","1,25","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","118.301.209,67",N/A,N/A,N/A,N/A,0,"62,13",57,N/A,N/A,N/A
HDEL11,TIJOLO,"106,09","7.956,50","1,18","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","75.601.654,07",N/A,N/A,N/A,N/A,0,"12,91",58,N/A,N/A,N/A
SOLR11,TIJOLO,"1.128,06","1.058,50","1,16","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","60.996.149,20",N/A,N/A,N/A,N/A,1,"102,03",52,N/A,N/A,N/A
HTMX11,TIJOLO,"152,99","719.868,73","1,16","1,98 %","14,58 %","1,61 %","1,22 %","4,52 %","198.653.243,57","132,05","1,16","2,16 %","-5,91 %",23,"26,95",28.727,N/A,N/A,N/A
KEVE11,DESENVOLVIMENTO,"1.058,00","110.081,08","1,16","0,00 %","4,66 %","1,13 %","0,39 %","0,00 %","136.042.340,06","918,28","1,15","2,13 %","-1,49 %",0,"35,28",500,N/A,N/A,N/A
MCHY11,PAPEL,"109,01","50.693,12","1,13","1,17 %","16,89 %","1,17 %","1,41 %","0,27 %","353.504.655,02","98,48","1,11","1,32 %","-1,86 %",0,"22,68",1.019,N/A,N/A,N/A
FIIB11,TIJOLO,"520,00","181.285,91","1,13","0,71 %","8,83 %","0,72 %","0,74 %","1,92 %","316.182.003,59","461,58","1,13","0,81 %","0,02 %",9,"16,58",16.693,N/A,N/A,N/A
TRXB11,DESENVOLVIMENTO,"120,02","1.137.284,82","1,12","0,74 %","8,28 %","0,50 %","0,69 %","4,17 %","307.506.511,69",N/A,N/A,N/A,N/A,12,"58,16",202,N/A,N/A,N/A
BLUR11,PAPEL,"101,20","5.834,05","1,11","1,03 %","7,24 %","1,03 %","0,60 %","-0,01 %","8.086.161,64",N/A,N/A,N/A,N/A,0,"36,43",114,N/A,N/A,N/A
HSRE11,MISTO,"104,00","2.844.895,30","1,11","0,00 %","4,84 %","0,39 %","0,40 %","0,00 %","831.526.432,14","93,44","1,11","0,64 %","-2,71 %",27,"24,96",209,N/A,N/A,N/A
MXRF11,PAPEL,"10,98","11.462.706,27","1,11","0,99 %","12,63 %","1,04 %","1,05 %","0,91 %","2.557.985.633,69","9,87","1,11","1,11 %","-2,37 %",3,"9,03",977.47,N/A,N/A,N/A
OGHY11,TIJOLO,"10,50","5.949,00","1,11","1,24 %","8,93 %","1,26 %","1,49 %","2,94 %","19.756.310,64",N/A,N/A,N/A,N/A,0,"12,08",555,N/A,N/A,N/A
ALZR11,MISTO,"115,21","2.050.360,70","1,09","0,71 %","8,45 %","0,71 %","0,70 %","-0,97 %","1.040.889.348,39","105,56","1,09","0,78 %","-1,24 %",13,"11,66",146.409,N/A,N/A,N/A
SEED11,TIJOLO,"100,00","24.849,00","1,09","0,77 %","2,41 %","0,42 %","0,20 %","0,00 %","149.971.305,33",N/A,N/A,N/A,N/A,0,"16,03",126,N/A,N/A,N/A
TGAR11,DESENVOLVIMENTO,"121,29","4.370.934,45","1,07","1,12 %","13,83 %","1,14 %","1,15 %","4,59 %","1.580.078.952,49","114,63","1,06","1,25 %","-10,29 %",8,"13,31",118.82,N/A,N/A,N/A
FLRP11,SHOPPING,"1.921,53","27.675,48","1,07","0,67 %","8,49 %","0,68 %","0,71 %","0,70 %","118.955.623,35","1.823,58","1,05","0,74 %","-0,17 %",1,"50,89",775,N/A,N/A,N/A
NEWU11,TIJOLO,"73,30","161.904,40","1,07","0,27 %","2,43 %","0,27 %","0,20 %","2,58 %","51.004.383,36","68,74","1,07","0,29 %","-1,25 %",3,"31,01",1.463,N/A,N/A,N/A
CCME11,TIJOLO,"108,50","13.564,39","1,06","0,83 %","3,31 %","0,55 %","0,30 %","-0,71 %","555.161.052,45",N/A,N/A,N/A,N/A,2,"64,77",148,N/A,N/A,N/A
CJCT11,TIJOLO,"69,00","31.227,89","1,06","0,11 %","25,23 %","0,12 %","2,10 %","5,88 %","207.823.395,97","57,90","1,19","0,00 %","0,58 %",1,"43,89",1.12,N/A,N/A,N/A
BBRC11,TIJOLO,"114,80","82.354,61","1,06","0,97 %","12,31 %","0,99 %","1,03 %","-1,77 %","170.342.991,30","107,13","1,07","1,05 %","-0,49 %",20,"15,60",9.591,N/A,N/A,N/A
GTLG11,TIJOLO,"63,99","22.885,25","1,06",N/A,N/A,N/A,N/A,N/A,"434.811.690,70","60,62","1,06","100,00 %","-35,83 %",5,"40,80",341,N/A,N/A,N/A
RDPD11,PAPEL,"22,96","98.337,21","1,06","1,32 %","48,89 %","2,13 %","4,07 %","7,36 %","24.085.452,18","33,95","0,68","0,94 %","-37,05 %",0,"54,16",3.141,N/A,N/A,N/A
VVRI11,TIJOLO,"98,70","5.730,72","1,06","1,30 %","8,47 %","1,31 %","1,41 %","1,32 %","37.903.168,98",N/A,N/A,N/A,N/A,1,"22,64",99,N/A,N/A,N/A
EDFO11B,TIJOLO,"190,04","6.269,90","1,05","0,92 %","9,55 %","0,61 %","0,80 %","0,00 %","42.640.599,44","180,68","1,05","0,99 %","-5,84 %",1,"62,15",538,N/A,N/A,N/A
HGRU11,MISTO,"129,32","8.124.170,06","1,05","0,61 %","9,46 %","0,63 %","0,79 %","4,50 %","2.269.285.057,02","123,29","1,05","0,69 %","0,33 %",71,"14,39",207.371,N/A,N/A,N/A
BTHI11,TIJOLO,"44,97","66.410,21","1,05","0,93 %","118,10 %","35,42 %","9,84 %","-63,41 %","393.972.710,53",N/A,N/A,N/A,N/A,12,"76,91",543,N/A,N/A,N/A
XPHT11,TIJOLO,"123,00","230.869,59","1,05","0,93 %","118,10 %","35,42 %","9,84 %","-63,41 %","393.972.710,53","42,74","2,88","0,98 %","-54,64 %",12,"29,85",543,N/A,N/A,N/A
TRXF11,TIJOLO,"107,75","7.195.120,15","1,05","0,80 %","10,01 %","0,80 %","0,83 %","-0,97 %","1.366.990.696,26","103,01","1,05","0,87 %","-2,31 %",30,"8,79",108.373,N/A,N/A,N/A
HUSI11,TIJOLO,"1.159,53","3.478,00","1,04","0,00 %","2,68 %","0,00 %","0,22 %","0,00 %","129.447.241,67","1.112,45","1,04","0,76 %","12,01 %",0,"247,14",86,N/A,N/A,N/A
EQIR11,TIJOLO,"10,10","116.355,21","1,04","1,15 %","14,47 %","1,21 %","1,21 %","6,67 %","48.808.000,30","9,84","1,03","1,12 %","0,82 %",0,"19,09",9.835,N/A,N/A,N/A
IAAG11,TIJOLO,"10,02","103.464,97","1,04","0,80 %","2,11 %","1,06 %","1,06 %","1,01 %","52.471.824,91","9,63","1,04","0,83 %","0,00 %",0,"9,62",1.46,N/A,N/A,N/A
HGCR11,PAPEL,"105,87","3.739.927,45","1,04","1,02 %","13,57 %","1,03 %","1,13 %","0,43 %","1.571.197.334,48","101,91","1,04","1,08 %","0,94 %",0,"10,89",103.567,N/A,N/A,N/A
TRBL11,TIJOLO,"98,51","860.138,33","1,04","0,73 %","10,12 %","0,73 %","0,84 %","-2,09 %","610.382.959,16",N/A,N/A,N/A,N/A,5,"15,29",62.415,N/A,N/A,N/A
VVPR11,MISTO,"101,50","1.249.061,55","1,04","0,89 %","9,72 %","0,82 %","0,81 %","0,40 %","226.032.234,18","98,03","1,04","0,74 %","-0,10 %",6,"3,43",1.372,N/A,N/A,N/A
HGLG11,TIJOLO,"158,97","14.394.290,79","1,04","0,68 %","9,03 %","0,68 %","0,75 %","-0,46 %","5.188.164.546,57","153,55","1,04","0,72 %","-0,31 %",21,"8,25",411.044,N/A,N/A,N/A
ARXD11,PAPEL,"102,00","3.252,38","1,03","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","48.564.346,47",N/A,N/A,N/A,N/A,0,"9,43",69,N/A,N/A,N/A
GRWA11,TIJOLO,"10,92","53.377,48","1,03","1,43 %","8,53 %","1,41 %","1,42 %","0,67 %","13.004.797,41","10,26","1,06","1,46 %","0,00 %",0,"5,94",1.174,N/A,N/A,N/A
NCRA11,TIJOLO,"10,79","240.571,70","1,03","1,35 %","17,07 %","1,28 %","1,42 %","-0,99 %","46.710.088,55","10,62","1,02","1,39 %","0,00 %",0,"12,36",8.127,N/A,N/A,N/A
OCRE11,PAPEL,"103,00","20.466,10","1,03","0,67 %","0,67 %","0,67 %","0,67 %","0,00 %","28.596.294,55",N/A,N/A,N/A,N/A,0,"8,68",425,N/A,N/A,N/A
RBVA11,TIJOLO,"110,84","849.024,24","1,03","0,88 %","12,08 %","0,89 %","1,01 %","1,57 %","1.250.792.219,21","107,94","1,03","0,93 %","-1,32 %",77,"11,23",46.914,N/A,N/A,N/A
RZAG11,TIJOLO,"9,70","2.483.522,03","1,02","1,27 %","15,47 %","1,37 %","1,29 %","1,55 %","647.791.521,89","9,52","1,02","1,31 %","-0,40 %",0,"12,21",78.092,N/A,N/A,N/A
BRCO11,TIJOLO,"123,42","2.861.207,30","1,02","0,70 %","8,10 %","0,70 %","0,68 %","-0,99 %","1.789.447.512,81","121,08","1,02","0,72 %","-0,33 %",10,"16,50",117.742,N/A,N/A,N/A
RBRY11,PAPEL,"100,44","2.185.979,00","1,02","1,19 %","14,34 %","1,18 %","1,20 %","-1,43 %","542.959.469,85","97,89","1,03","1,23 %","-2,00 %",0,"16,62",37.109,N/A,N/A,N/A
KNHF11,TIJOLO,"104,49","983.253,55","1,02","0,79 %","1,75 %","1,75 %","1,75 %","1,92 %","989.633.425,51",N/A,N/A,N/A,N/A,0,"10,41",12.406,N/A,N/A,N/A
KNCA11,TIJOLO,"105,42","3.238.726,42","1,02","1,03 %","14,23 %","1,07 %","1,19 %","-0,01 %","2.223.951.028,31","102,96","1,02","1,07 %","0,76 %",0,"11,85",54.626,N/A,N/A,N/A
CACR11,PAPEL,"104,00","773.611,30","1,02","1,34 %","16,66 %","1,33 %","1,39 %","0,08 %","184.164.803,08","101,89","1,02","1,39 %","-1,58 %",0,"8,80",12.874,N/A,N/A,N/A
FGAA11,TIJOLO,"9,75","1.393.347,36","1,02","1,20 %","16,33 %","1,26 %","1,36 %","-0,99 %","340.817.912,71","9,59","1,02","1,25 %","0,00 %",0,"7,88",40.052,N/A,N/A,N/A
XPCA11,TIJOLO,"9,67","1.761.797,42","1,02","1,11 %","15,58 %","1,28 %","1,30 %","2,90 %","431.793.939,36","9,49","1,02","1,16 %","-0,01 %",0,"10,94",79.536,N/A,N/A,N/A
BTLG11,TIJOLO,"100,10","6.689.699,39","1,02","0,75 %","9,02 %","0,74 %","0,75 %","-3,21 %","2.803.320.267,77","98,39","1,02","0,77 %","-0,38 %",20,"10,83",249.291,N/A,N/A,N/A
RINV11,TIJOLO,"110,21","129.114,15","1,02","1,06 %","9,55 %","1,36 %","1,19 %","2,35 %","76.981.368,06",N/A,N/A,N/A,N/A,0,"7,72",722,N/A,N/A,N/A
AFHI11,PAPEL,"97,23","1.036.260,30","1,02","1,07 %","13,04 %","1,07 %","1,09 %","0,22 %","317.865.129,37","95,08","1,02","1,10 %","0,12 %",0,"8,95",25.035,N/A,N/A,N/A
VGHF11,MISTO,"9,50","3.304.958,73","1,02","1,03 %","13,55 %","1,17 %","1,13 %","1,04 %","876.229.160,55","9,30","1,02","1,08 %","1,53 %",0,"11,83",313.289,N/A,N/A,N/A
RSPD11,DESENVOLVIMENTO,"1.125,00","3.375,00","1,02","2,60 %","2,60 %","0,87 %","0,26 %","0,00 %","164.859.659,65","1.130,10","1,00","0,98 %","-1,08 %",0,N/A,105,N/A,N/A,N/A
LVBI11,TIJOLO,"115,61","2.871.507,61","1,02","0,67 %","8,60 %","0,67 %","0,72 %","1,71 %","1.399.856.294,52","115,87","1,00","0,68 %","0,32 %",8,"18,74",82.035,N/A,N/A,N/A
HGBS11,SHOPPING,"228,22","7.572.425,48","1,02","0,86 %","8,93 %","0,80 %","0,74 %","0,24 %","2.246.476.694,74","224,65","1,02","0,89 %","1,23 %",12,"12,95",91.731,N/A,N/A,N/A
SDIL11,TIJOLO,"96,50","1.030.917,86","1,01","0,76 %","10,27 %","0,83 %","0,86 %","2,04 %","612.048.658,06","98,33","0,98","0,83 %","-0,22 %",5,"14,97",63.292,N/A,N/A,N/A
GCOI11,TIJOLO,"98,99","98.990,00","1,01","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","11.028.544,12",N/A,N/A,N/A,N/A,0,N/A,357,N/A,N/A,N/A
VISC11,SHOPPING,"117,35","8.620.730,73","1,01","0,77 %","8,93 %","0,75 %","0,74 %","-1,66 %","2.153.513.601,79","115,84","1,01","0,79 %","-6,45 %",20,"14,86",263.962,N/A,N/A,N/A
ITIP11,PAPEL,"76,95","78.737,79","1,01","0,86 %","12,26 %","0,93 %","1,02 %","-0,22 %","56.935.514,35","76,10","1,01","0,88 %","-4,98 %",0,"13,86",4.07,N/A,N/A,N/A
SNCI11,PAPEL,"99,43","621.082,30","1,01","1,00 %","12,46 %","1,00 %","1,04 %","0,17 %","411.247.594,36","97,92","1,02","1,02 %","0,53 %",0,"10,97",44.253,N/A,N/A,N/A
ASRF11,TIJOLO,"10.092,00","30.276,00","1,01","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","23.981.681,14",N/A,N/A,N/A,N/A,0,N/A,55,N/A,N/A,N/A
BTSG11,TIJOLO,"139,08","1.321,00","1,01","0,00 %","1,73 %","0,00 %","0,14 %","0,00 %","106.744.336,64","137,73","1,01","0,67 %","0,06 %",1,"73,09",64,N/A,N/A,N/A
XPLG11,TIJOLO,"110,65","3.467.469,52","1,01","0,69 %","8,74 %","0,69 %","0,73 %","0,06 %","2.995.315.827,38","110,52","1,00","0,71 %","-2,98 %",20,"12,99",312.65,N/A,N/A,N/A
ALZM11,TIJOLO,"91,44","228.193,58","1,01","0,86 %","11,95 %","0,82 %","1,00 %","-1,11 %","62.659.474,48","90,65","1,01","0,88 %","-2,05 %",0,"21,59",3.908,N/A,N/A,N/A
PNRC11,TIJOLO,"102,49","112.459,00","1,01","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","41.685.243,44",N/A,N/A,N/A,N/A,0,"1,53",60,N/A,N/A,N/A
KNHY11,PAPEL,"101,84","2.061.429,52","1,01","0,87 %","12,30 %","0,87 %","1,03 %","0,69 %","1.879.360.888,96","101,64","1,00","0,89 %","3,98 %",0,"9,94",15.326,N/A,N/A,N/A
SNAG11,PAPEL,"10,15","1.606.899,73","1,00","0,97 %","13,64 %","1,10 %","1,14 %","-0,48 %","337.076.659,93","10,11","1,00","0,99 %","-90,02 %",0,"5,79",66.291,N/A,N/A,N/A
RBLG11,TIJOLO,"102,00","1.867,80","1,00","0,95 %","7,43 %","0,63 %","0,62 %","0,00 %","65.085.022,08","101,66","1,00","0,93 %","1,17 %",1,"35,76",211,N/A,N/A,N/A
PQAG11,TIJOLO,"57,25","8.030,25","1,00","0,77 %","9,69 %","0,78 %","0,81 %","0,85 %","799.137.578,09","57,11","1,00","0,77 %","-0,26 %",1,"17,64",483,N/A,N/A,N/A
GALG11,TIJOLO,"9,19","950.030,52","1,00","0,90 %","10,94 %","0,90 %","0,91 %","1,97 %","525.634.425,18","9,18","1,00","0,92 %","-1,40 %",5,"11,15",82.853,N/A,N/A,N/A
JBFO11,PAPEL,"87,00","87,00","1,00","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","111.042.439,85",N/A,N/A,N/A,N/A,0,"38,50",364,N/A,N/A,N/A
GGRC11,TIJOLO,"113,28","1.253.255,82","1,00","0,82 %","10,44 %","0,80 %","0,87 %","-1,98 %","1.025.718.064,30","113,56","1,00","0,84 %","-8,69 %",17,"16,32",106.093,N/A,N/A,N/A
EGAF11,TIJOLO,"98,85","722.319,97","1,00","1,28 %","25,74 %","1,39 %","2,15 %","1,00 %","186.718.830,09","98,85","1,00","1,31 %","0,00 %",0,"9,68",7.402,N/A,N/A,N/A
KNCR11,PAPEL,"100,89","12.919.497,61","1,00","1,09 %","13,83 %","1,15 %","1,15 %","1,27 %","5.765.511.516,60","100,98","1,00","1,09 %","0,23 %",0,"8,42",288.834,N/A,N/A,N/A
RZTR11,MISTO,"100,22","2.348.738,64","1,00","1,09 %","11,97 %","0,95 %","1,00 %","2,17 %","1.116.898.488,23","101,09","0,99","1,09 %","3,76 %",17,"19,50",92.058,N/A,N/A,N/A
FCFL11,TIJOLO,"114,02","193.706,88","1,00","0,73 %","8,58 %","0,70 %","0,72 %","-0,47 %","403.736.608,50","116,22","0,98","0,73 %","0,04 %",1,"21,83",3.559,N/A,N/A,N/A
TSER11,TIJOLO,"100,00","488,57","1,00","0,00 %","4,50 %","0,30 %","0,38 %","0,00 %","128.784.431,31",N/A,N/A,N/A,N/A,1,"105,42",32,N/A,N/A,N/A
JGPX11,TIJOLO,"95,80","702.018,52","1,00","0,81 %","15,03 %","1,15 %","1,25 %","-4,05 %","204.721.961,44","95,61","1,00","0,84 %","-0,38 %",0,"14,20",7.546,N/A,N/A,N/A
SIGR11,TIJOLO,"100,00","340.000,00","1,00","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","39.066.430,94",N/A,N/A,N/A,N/A,0,"0,34",53,N/A,N/A,N/A
KNRI11,MISTO,"157,66","3.780.135,73","1,00","0,61 %","8,00 %","0,60 %","0,67 %","2,70 %","3.854.343.950,84","159,55","0,99","0,63 %","-0,18 %",19,"14,19",260.463,N/A,N/A,N/A
RBHG11,PAPEL,"90,00","298.179,97","1,00","1,16 %","14,81 %","1,17 %","1,23 %","0,00 %","157.129.376,24","90,95","0,99","1,15 %","-1,23 %",0,"10,44",9.735,N/A,N/A,N/A
MCCI11,PAPEL,"93,40","3.487.443,21","1,00","0,95 %","12,80 %","0,95 %","1,07 %","-0,05 %","1.597.027.791,58","93,50","1,00","0,96 %","1,08 %",0,"17,26",117.569,N/A,N/A,N/A
BICE11,TIJOLO,"983,00","51.782,33","1,00","0,80 %","3,89 %","0,53 %","0,32 %","0,00 %","89.144.416,35","987,09","1,00","0,81 %","-0,97 %",0,"49,25",116,N/A,N/A,N/A
JSAF11,TIJOLO,"99,05","1.081.699,18","0,99","1,00 %","12,72 %","0,97 %","1,06 %","1,39 %","155.939.199,09","99,13","1,00","1,01 %","5,52 %",0,"20,97",10.789,N/A,N/A,N/A
RZAK11,PAPEL,"92,43","3.037.108,09","0,99","1,38 %","15,85 %","1,28 %","1,32 %","-1,05 %","814.860.233,83","92,51","1,00","1,41 %","-1,28 %",0,"17,55",50.614,N/A,N/A,N/A
SPXS11,TIJOLO,"95,25","667.793,00","0,99","1,19 %","13,06 %","1,22 %","1,09 %","-4,26 %","193.927.021,21",N/A,N/A,N/A,N/A,0,"24,04",6.48,N/A,N/A,N/A
RBHY11,PAPEL,"93,19","134.577,36","0,99","1,20 %","15,10 %","1,22 %","1,26 %","-0,57 %","176.371.062,94","93,15","1,00","1,23 %","-1,03 %",0,"11,79",3.631,N/A,N/A,N/A
LASC11,SHOPPING,"101,00","3.092.401,13","0,99","0,56 %","9,60 %","0,58 %","0,80 %","-1,51 %","300.321.235,18","102,14","0,99","0,56 %","-4,51 %",2,"18,31",392,N/A,N/A,N/A
LIFE11,TIJOLO,"10,13","198.286,67","0,99","1,19 %","15,76 %","1,18 %","1,31 %","-1,66 %","226.123.667,17",N/A,N/A,N/A,N/A,0,"24,32",4.553,N/A,N/A,N/A
PLCR11,PAPEL,"91,12","335.006,52","0,99","0,97 %","13,98 %","1,08 %","1,17 %","2,08 %","193.583.680,95","91,78","0,99","0,98 %","1,20 %",0,"10,53",16.866,N/A,N/A,N/A
MANA11,TIJOLO,"9,70","140.306,39","0,99","1,01 %","13,34 %","1,07 %","1,11 %","-1,49 %","208.068.812,90",N/A,N/A,N/A,N/A,0,"26,88",5.636,N/A,N/A,N/A
CRAA11,TIJOLO,"100,50","124.113,09","0,99","1,27 %","9,78 %","1,27 %","1,63 %","-0,63 %","50.207.099,94","101,46","0,99","1,28 %","0,00 %",0,"5,94",1.615,N/A,N/A,N/A
HGAG11,TIJOLO,"23,58","7.122,00","0,99","0,60 %","13,26 %","0,80 %","1,11 %","0,24 %","5.906.966,62","23,79","0,99","0,63 %","0,00 %",0,"106,11",1.382,N/A,N/A,N/A
LLAO11,MISTO,"77,37","551.253,00","0,99",N/A,N/A,N/A,N/A,N/A,"28.233.080,39",N/A,N/A,N/A,N/A,17,"185,46",77,N/A,N/A,N/A
FLCR11,PAPEL,"97,60","80.685,79","0,99","1,03 %","13,63 %","0,98 %","1,14 %","0,05 %","62.213.955,03","98,19","0,99","1,02 %","-0,23 %",0,"11,23",2.727,N/A,N/A,N/A
RPRI11,PAPEL,"99,90","257.885,30","0,99","0,81 %","14,33 %","0,90 %","1,19 %","-1,45 %","226.861.247,97",N/A,N/A,N/A,N/A,0,"22,95",2.859,N/A,N/A,N/A
JPPA11,PAPEL,"96,49","231.890,24","0,99","1,11 %","15,83 %","1,16 %","1,32 %","-4,38 %","88.396.683,59","97,78","0,99","1,13 %","-0,55 %",0,"11,26",9.548,N/A,N/A,N/A
AAZQ11,TIJOLO,"9,30","710.115,76","0,98","1,28 %","12,10 %","1,28 %","1,51 %","0,21 %","227.315.695,26","9,46","0,98","1,27 %","0,00 %",0,"15,06",19.556,N/A,N/A,N/A
TJKB11,TIJOLO,"262,50","4.724,80","0,98","0,00 %","0,93 %","0,00 %","0,08 %","0,00 %","201.946.069,65",N/A,N/A,N/A,N/A,7,"12,37",74,N/A,N/A,N/A
HSML11,SHOPPING,"92,85","2.475.466,82","0,98","0,79 %","10,03 %","0,78 %","0,84 %","-2,78 %","1.494.660.725,10","94,71","0,98","0,78 %","-2,94 %",7,"14,19",165.405,N/A,N/A,N/A
OUJP11,PAPEL,"96,40","542.310,64","0,98","1,00 %","14,69 %","1,09 %","1,22 %","-1,57 %","321.778.420,43","98,94","0,97","1,01 %","-0,95 %",0,"13,59",29.384,N/A,N/A,N/A
ARRI11,PAPEL,"8,76","249.649,73","0,98","1,12 %","14,51 %","1,11 %","1,21 %","0,34 %","116.471.850,11","8,92","0,98","1,12 %","0,68 %",0,"14,44",28.123,N/A,N/A,N/A
KFOF11,TIJOLO,"97,76","1.370.521,97","0,98","0,81 %","10,64 %","0,79 %","0,89 %","1,81 %","447.679.979,74","98,75","0,99","0,81 %","8,67 %",0,"22,54",20.006,N/A,N/A,N/A
KNSC11,PAPEL,"87,75","2.554.999,39","0,98","0,82 %","11,61 %","0,83 %","0,97 %","1,26 %","1.200.043.719,84","90,39","0,97","0,83 %","2,56 %",0,"11,13",107.493,N/A,N/A,N/A
HBCR11,TIJOLO,"118,47","904.530,78","0,98","0,45 %","3,23 %","0,15 %","0,27 %","0,00 %","138.909.498,40",N/A,N/A,N/A,N/A,4,"29,30",40,N/A,N/A,N/A
CPTR11,TIJOLO,"9,57","1.430.013,64","0,98","1,00 %","2,54 %","0,42 %","0,21 %","-89,77 %","404.010.251,94","9,76","0,98","1,02 %","-90,11 %",0,"90,75",23.767,N/A,N/A,N/A
EVBI11,MISTO,"96,01","170.414,64","0,98","0,77 %","9,52 %","0,81 %","0,79 %","0,51 %","211.043.876,41","97,98","0,98","0,77 %","-1,76 %",6,"19,98",1.033,N/A,N/A,N/A
VGIA11,TIJOLO,"9,32","3.956.383,67","0,98","1,26 %","16,76 %","1,32 %","1,40 %","-0,10 %","821.627.874,80","9,50","0,98","1,26 %","-0,30 %",0,"11,75",151.1,N/A,N/A,N/A
CPSH11,TIJOLO,"108,49","662.750,79","0,98","0,68 %","3,51 %","0,85 %","1,17 %","-9,36 %","329.158.261,54",N/A,N/A,N/A,N/A,1,"22,96",271,N/A,N/A,N/A
RBED11,TIJOLO,"140,00","646.104,06","0,98","0,99 %","12,07 %","1,02 %","1,01 %","2,39 %","338.809.927,42","143,87","0,97","0,99 %","-0,15 %",7,"15,76",13.222,N/A,N/A,N/A
BTCI11,PAPEL,"9,86","2.341.918,27","0,98","1,02 %","12,39 %","1,04 %","1,03 %","1,85 %","1.004.085.952,88",N/A,N/A,N/A,N/A,0,"89,89",123.083,N/A,N/A,N/A
