FUNDOS,TIPO,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,DIVIDEND YIELD,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (12M) MÉDIA,VARIAÇÃO PREÇO,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
ALMI11,TIJOLO,"703,33","33.264,06","0,35","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","226.377.128,52","2.046,78","0,34","0,00 %","-0,05 %",1,"33,48",2.308,N/A,N/A,N/A
RBOP11,TIJOLO,"280,00","27.029,97","0,34","0,82 %","17,27 %","0,77 %","1,44 %","-5,77 %","85.588.527,28",N/A,N/A,N/A,N/A,2,"44,41",3.675,N/A,N/A,N/A
FAMB11B,TIJOLO,"946,99","84.467,72","0,32","0,56 %","10,11 %","0,73 %","0,84 %","-47,80 %","309.702.732,26","3.593,26","0,26","0,25 %","0,53 %",1,"66,87",2.606,N/A,N/A,N/A
RBGS11,SHOPPING,"28,45",N/A,"0,31","0,62 %","6,17 %","0,53 %","0,51 %","-1,90 %","97.865.283,71","90,78","0,31","0,18 %","0,00 %",1,N/A,2.808,N/A,N/A,N/A
VSLH11,PAPEL,"3,14","306.821,58","0,31","0,93 %","10,37 %","0,83 %","0,86 %","-10,50 %","309.414.372,41","10,36","0,30","0,29 %","-0,29 %",0,"43,74",89.339,N/A,N/A,N/A
XPPR11,TIJOLO,"20,35","326.267,88","0,29","0,46 %","6,77 %","0,45 %","0,56 %","-1,75 %","512.067.992,22","69,99","0,29","0,14 %","-5,89 %",5,"26,03",58.517,N/A,N/A,N/A
HCTR11,PAPEL,"32,47","3.512.624,97","0,29","0,91 %","11,00 %","0,78 %","0,92 %","-35,67 %","2.494.574.598,33","112,96","0,29","0,24 %","-6,94 %",0,"48,92",198.762,N/A,N/A,N/A
CNES11,TIJOLO,"22,89","12.530,23","0,25","0,27 %","4,11 %","0,28 %","0,34 %","-17,20 %","267.623.847,50","90,76","0,25","0,07 %","1,49 %",1,"37,87",1.702,N/A,N/A,N/A
XPCM11,TIJOLO,"10,29","31.098,36","0,25","0,61 %","9,34 %","0,57 %","0,78 %","-5,54 %","99.993.881,57","41,41","0,25","0,17 %","-6,08 %",1,"26,59",24.483,N/A,N/A,N/A
HOFC11,TIJOLO,"21,13","81.604,18","0,23","0,52 %","8,46 %","0,61 %","0,71 %","-10,23 %","336.869.961,83",N/A,N/A,N/A,N/A,4,"31,49",7.302,N/A,N/A,N/A
CARE11,MISTO,"1,57","8.606,79","0,19","0,23 %","2,92 %","0,22 %","0,32 %","-2,63 %","297.092.233,50","1,60","0,98","0,10 %","-0,24 %",1,"34,89",11.742,N/A,N/A,N/A
TORD11,MISTO,"2,11","213.586,18","0,17","0,90 %","11,46 %","0,84 %","0,96 %","-24,53 %","443.077.856,90","13,99","0,15","0,36 %","8,62 %",1,"37,03",97.047,N/A,N/A,N/A
RBDS11,DESENVOLVIMENTO,"3,00","713,13","0,13","11,21 %","68,55 %","7,81 %","5,71 %","-51,20 %","2.771.533,38","22,98","0,13","0,00 %","0,00 %",0,"112,27",968,N/A,N/A,N/A
FEXC11,PAPEL,"83,50","860.137,12","0,10","0,00 %","11,48 %","0,36 %","0,96 %","0,00 %","1.001.470.167,13","90,75","0,92","0,99 %","-1,13 %",0,"14,57",36.232,N/A,N/A,N/A
VSEC11,PAPEL,"0,21","2,50","0,07",N/A,N/A,N/A,N/A,N/A,"182.284,39",N/A,N/A,N/A,N/A,0,"1.154,27",64,N/A,N/A,N/A
